Account_id,Name,Channel,Timestamp,Credit/Debit,Amount
1201201,Y@>,online,02/05/2012,C,$15
1201202,WA@,mobile,08/03/2014,D,$9
1201203,D2G,branch,20/01/2014,C,$34
1201204,0.C,mobile,13/04/2013,C,$44
1201205,Q5H,mobile,22/04/2012,D,$11
1201206,JHQ,mobile,09/09/2014,C,$2
1201207,3O-,online,18/03/2014,D,$19
1201208,C72,online,25/02/2014,C,$47
1201209,@79,online,25/11/2012,C,$9
1201210,Q>-,online,17/05/2014,C,$29
1201211,:T3,mobile,01/12/2013,D,$21
1201212,T2T,mobile,22/09/2013,D,$17
1201213,CQY,online,23/01/2013,C,$11
1201214,2.8,mobile,12/07/2013,D,$17
1201215,W?F,branch,22/05/2014,C,$49
1201216,VCD,mobile,19/01/2014,C,$14
1201217,6V1,mobile,04/10/2012,D,$44
1201218,;UW,mobile,22/06/2012,C,$41
1201219,?7H,online,16/08/2014,D,$29
1201220,RA0,online,20/11/2014,C,$21
1201221,5P6,online,05/11/2012,C,$44
1201222,<JC,online,03/08/2012,C,$12
1201223,9X4,mobile,27/06/2013,D,$12
1201224,GCC,mobile,25/06/2013,D,$24
1201225,3N1,online,17/11/2014,C,$49
1201226,61L,mobile,28/04/2014,D,$25
1201227,H;F,branch,24/04/2012,C,$41
1201228,P>G,mobile,27/03/2012,C,$16
1201229,4K;,mobile,17/06/2012,D,$28
1201230,J/J,online,09/06/2012,C,$44
1201231,>T?,mobile,27/05/2013,D,$48
1201232,LO7,branch,24/08/2013,C,$40
1201233,B5H,mobile,12/06/2014,C,$35
1201234,DY9,mobile,04/03/2013,C,$49
1201235,9I3,mobile,09/03/2013,D,$34
1201236,G3S,online,09/05/2014,D,$21
1201237,:R9,online,11/02/2014,C,$18
1201238,7:G,online,18/07/2014,D,$26
1201239,;;-,online,06/01/2012,C,$40
1201240,:.E,mobile,11/09/2013,C,$18
1201241,P55,mobile,27/03/2014,D,$27
1201242,GK8,online,02/05/2013,C,$6
1201243,B?F,mobile,02/11/2014,D,$46
1201244,2X2,branch,04/12/2014,C,$14
1201245,6HM,mobile,04/03/2012,C,$7
1201246,8EW,mobile,22/03/2013,C,$7
1201247,VRZ,mobile,25/05/2014,D,$22
1201248,L4A,online,12/10/2013,D,$44
1201249,HU/,online,01/04/2014,C,$18
1201250,:L=,online,17/04/2014,D,$21
1201251,3==,online,26/07/2013,C,$20
1201252,/1Y,mobile,03/11/2013,C,$37
1201253,?<G,mobile,27/10/2014,D,$40
1201254,FS:,online,04/01/2014,C,$34
1201255,C.D,mobile,12/06/2014,D,$15
1201256,9=W,branch,20/07/2013,C,$47
1201257,8OG,mobile,11/08/2013,C,$10
1201258,HVG,mobile,12/10/2012,C,$25
1201259,S:5,online,17/04/2014,D,$48
1201260,N4U,mobile,11/11/2014,D,$23
1201261,TTL,branch,11/08/2013,C,$45
1201262,II=,mobile,01/07/2013,D,$34
1201263,0A4,mobile,24/04/2012,C,$36
1201264,2SY,mobile,08/12/2012,C,$8
1201265,.T2,online,10/02/2012,D,$26
1201266,:B?,online,26/12/2013,C,$43
1201267,;4W,online,14/01/2013,D,$25
1201268,SPU,online,08/01/2012,C,$4
1201269,LXK,mobile,24/04/2014,C,$25
1201270,Y.E,mobile,01/09/2012,C,$18
1201271,XBW,online,11/07/2014,D,$44
1201272,ODQ,mobile,27/02/2014,D,$26
1201273,I-X,branch,16/01/2012,C,$45
1201274,862,mobile,23/04/2014,D,$28
1201275,>U1,mobile,04/01/2012,C,$36
1201276,=H-,mobile,21/08/2014,C,$42
1201277,ADZ,online,23/05/2014,D,$4
1201278,MX<,online,17/12/2014,C,$4
1201279,ELA,online,06/03/2013,D,$46
1201280,D9I,online,28/09/2013,C,$5
1201281,IFI,mobile,13/08/2012,C,$26
1201282,8KP,mobile,22/12/2012,C,$33
1201283,O49,online,07/10/2012,D,$11
1201284,@3Y,mobile,20/12/2012,D,$30
1201285,>==,branch,24/03/2012,C,$38
1201286,3/S,mobile,16/05/2013,D,$23
1201287,U<3,mobile,24/08/2012,C,$35
1201288,<NX,online,08/11/2014,C,$25
1201289,Y@-,mobile,26/05/2014,D,$25
1201290,4@.,branch,25/09/2012,C,$36
1201291,;BS,mobile,18/07/2013,D,$18
1201292,9=<,mobile,24/07/2013,C,$32
1201293,FKK,mobile,27/01/2013,C,$26
1201294,9N-,online,22/08/2013,C,$5
1201295,HN1,online,11/09/2014,D,$25
1201296,;2Y,online,08/12/2014,D,$4
1201297,CP<,online,19/01/2014,C,$32
1201298,H;=,mobile,28/03/2014,D,$14
1201299,;>Z,mobile,04/06/2012,C,$6
1201300,W0G,online,08/08/2013,C,$28
1201301,TUG,mobile,12/07/2012,D,$10
1201302,P9.,branch,24/07/2013,C,$24
1201303,R21,mobile,13/07/2012,D,$3
1201304,VKQ,mobile,19/12/2012,C,$26
1201305,@XE,mobile,28/08/2014,C,$9
1201306,B/V,online,08/11/2013,C,$15
1201307,9GF,online,08/02/2014,D,$18
1201308,09J,online,18/02/2014,D,$31
1201309,1I:,online,18/02/2012,C,$5
1201310,RX/,mobile,09/12/2012,D,$5
1201311,<U@,mobile,27/07/2013,C,$9
1201312,J;:,online,14/12/2013,C,$37
1201313,U95,mobile,11/05/2013,D,$30
1201314,.HN,branch,10/09/2014,C,$32
1201315,@<W,mobile,16/10/2013,D,$50
1201316,ZP@,mobile,05/10/2012,C,$10
1201317,I/U,online,17/09/2014,C,$1
1201318,.J-,mobile,22/11/2014,C,$13
1201319,SD:,branch,26/05/2012,D,$41
1201320,:@B,mobile,17/07/2013,D,$27
1201321,A=M,mobile,06/08/2014,C,$47
1201322,8KZ,mobile,14/04/2013,D,$41
1201323,PA-,online,19/09/2014,C,$43
1201324,R59,online,14/08/2013,C,$7
1201325,MP;,online,23/07/2013,D,$41
1201326,O>/,online,26/01/2014,C,$47
1201327,<LU,mobile,05/05/2013,D,$11
1201328,AFJ,mobile,04/10/2014,C,$10
1201329,3ID,online,23/10/2014,C,$35
1201330,BUT,mobile,17/04/2012,C,$41
1201331,B6Y,branch,06/04/2014,D,$50
1201332,S;9,mobile,08/01/2013,D,$42
1201333,;@-,mobile,19/06/2012,C,$26
1201334,9G5,mobile,22/06/2014,D,$10
1201335,EE1,online,18/03/2012,C,$17
1201336,L8=,online,19/04/2014,C,$39
1201337,LK4,online,04/09/2013,D,$4
1201338,72A,online,25/08/2012,C,$44
1201339,-0X,mobile,23/01/2014,D,$13
1201340,4T5,mobile,28/10/2013,C,$39
1201341,W:1,online,22/07/2014,C,$38
1201342,0:?,mobile,24/07/2013,C,$33
1201343,L@X,branch,03/11/2012,D,$5
1201344,OCJ,mobile,13/06/2014,D,$11
1201345,X>.,mobile,12/10/2013,C,$9
1201346,.3=,online,28/02/2014,D,$1
1201347,S@X,mobile,08/10/2012,C,$32
1201348,:6X,branch,12/11/2012,C,$3
1201349,>F4,mobile,01/12/2014,D,$46
1201350,MH6,mobile,14/07/2014,C,$43
1201351,>KQ,mobile,09/09/2014,D,$15
1201352,YQ-,online,20/04/2012,C,$37
1201353,ZFT,online,28/03/2012,C,$16
1201354,OIW,online,06/08/2012,C,$39
1201355,CK-,online,25/07/2012,D,$2
1201356,ODL,mobile,02/05/2013,D,$25
1201357,A9A,mobile,28/11/2013,C,$37
1201358,8CQ,online,23/10/2014,D,$32
1201359,7N9,mobile,08/12/2013,C,$13
1201360,C>S,branch,10/11/2012,C,$40
1201361,B2.,mobile,26/04/2013,D,$14
1201362,HL9,mobile,18/09/2014,C,$40
1201363,2>Y,mobile,10/06/2012,D,$6
1201364,H4A,online,23/05/2014,C,$30
1201365,QV6,online,01/10/2013,C,$30
1201366,=0R,online,09/03/2014,C,$14
1201367,@BT,online,08/03/2012,D,$22
1201368,;<-,mobile,05/12/2013,D,$34
1201369,OEU,mobile,26/10/2014,C,$12
1201370,J39,online,04/12/2014,D,$28
1201371,U.>,mobile,03/11/2013,C,$23
1201372,174,branch,20/10/2012,C,$6
1201373,N-M,mobile,24/07/2012,D,$20
1201374,S2H,mobile,17/04/2012,C,$31
1201375,UZ2,online,23/04/2014,D,$27
1201376,U@J,mobile,02/02/2012,C,$11
1201377,><I,branch,19/01/2012,C,$42
1201378,A;S,mobile,23/07/2014,C,$50
1201379,YJJ,mobile,20/07/2012,D,$8
1201380,4:T,mobile,21/11/2014,D,$32
1201381,O?5,online,24/07/2012,C,$7
1201382,MTP,online,14/06/2014,D,$39
1201383,R@R,online,19/04/2014,C,$9
1201384,WD2,online,17/07/2013,C,$9
1201385,PZ1,mobile,06/05/2012,D,$36
1201386,5W0,mobile,09/01/2014,C,$38
1201387,PJL,online,25/12/2013,D,$44
1201388,6P/,mobile,26/06/2013,C,$19
1201389,L8H,branch,27/07/2013,C,$14
1201390,@./,mobile,13/03/2014,C,$25
1201391,413,mobile,25/01/2013,D,$30
1201392,ZD>,mobile,15/02/2014,D,$15
1201393,8HT,online,27/08/2012,C,$36
1201394,HD?,online,21/09/2014,D,$12
1201395,NK5,online,02/02/2012,C,$30
1201396,MD=,online,14/08/2014,C,$22
1201397,9K/,mobile,07/01/2012,D,$5
1201398,9:3,mobile,07/04/2014,C,$33
1201399,0GB,online,01/08/2013,D,$31
1201400,=BI,mobile,11/01/2012,C,$12
1201401,Q;I,branch,16/05/2012,C,$33
1201402,PPS,mobile,15/02/2014,C,$23
1201403,S@W,mobile,16/01/2013,D,$33
1201404,KC5,online,27/12/2014,D,$21
1201405,=8I,mobile,10/07/2014,C,$24
1201406,KPV,branch,09/12/2012,D,$14
1201407,2/C,mobile,28/09/2013,C,$5
1201408,1U1,mobile,22/05/2014,C,$50
1201409,L2K,mobile,01/07/2013,D,$10
1201410,CG8,online,06/07/2013,C,$48
1201411,VWC,online,27/02/2012,D,$6
1201412,Q7Y,online,16/07/2012,C,$10
1201413,1BJ,online,04/05/2013,C,$31
1201414,DCL,mobile,12/06/2014,C,$26
1201415,PI3,mobile,02/08/2014,D,$12
1201416,X8W,online,01/05/2014,D,$10
1201417,5G2,mobile,25/02/2012,C,$19
1201418,B@T,branch,07/08/2014,D,$16
1201419,8NE,mobile,27/12/2013,C,$1
1201420,W=3,mobile,12/08/2014,C,$26
1201421,P-9,mobile,21/09/2014,D,$48
1201422,W6:,online,27/07/2014,C,$19
1201423,DIP,online,05/02/2013,D,$28
1201424,ZMO,online,18/11/2014,C,$11
1201425,D@U,online,04/04/2012,C,$24
1201426,5XU,mobile,05/02/2013,C,$36
1201427,O0E,mobile,20/11/2013,D,$8
1201428,D5U,online,20/09/2013,C,$8
1201429,=I8,mobile,10/11/2012,C,$41
1201430,-5;,branch,27/10/2012,D,$50
1201431,4:Q,mobile,12/07/2012,C,$42
1201432,1Y5,mobile,25/05/2012,D,$18
1201433,Y25,online,02/04/2013,C,$12
1201434,.L;,mobile,04/10/2012,C,$2
1201435,I5Y,branch,20/08/2013,C,$31
1201436,U?O,mobile,25/05/2013,D,$45
1201437,LC6,mobile,10/11/2013,D,$22
1201438,AP3,mobile,25/08/2012,C,$1
1201439,FKP,online,09/12/2012,D,$6
1201440,UK7,online,15/05/2013,C,$45
1201441,-BS,online,07/11/2013,C,$42
1201442,AWE,online,10/09/2014,D,$19
1201443,NRT,mobile,24/01/2012,C,$15
1201444,52O,mobile,22/07/2013,D,$48
1201445,AN-,online,09/01/2013,C,$4
1201446,@3E,mobile,26/06/2012,C,$21
1201447,IJ8,branch,08/01/2013,C,$42
1201448,Q>3,mobile,25/10/2013,D,$42
1201449,Z>I,mobile,23/02/2013,C,$4
1201450,D8I,mobile,07/09/2014,C,$40
1201451,:US,online,25/11/2014,D,$15
1201452,1GD,online,20/09/2013,C,$50
1201453,A9D,online,15/05/2014,D,$24
1201454,5AX,online,20/01/2013,C,$17
1201455,U-Y,mobile,09/03/2012,C,$21
1201456,DQW,mobile,06/07/2013,C,$34
1201457,3G7,online,18/11/2012,D,$33
1201458,=KY,mobile,23/03/2014,D,$19
1201459,ZZE,branch,18/07/2012,C,$49
1201460,8TX,mobile,02/10/2012,D,$7
1201461,I0I,mobile,01/10/2013,C,$43
1201462,:4<,online,02/02/2013,C,$6
1201463,7G9,mobile,21/05/2013,D,$23
1201464,5IG,branch,02/02/2013,C,$35
1201465,ELH,mobile,06/08/2013,D,$6
1201466,OCY,mobile,27/09/2012,C,$48
1201467,9A<,mobile,02/01/2014,C,$27
1201468,YIX,online,13/07/2014,C,$43
1201469,I-B,online,02/04/2013,D,$39
1201470,84/,online,12/08/2012,C,$17
1201471,BMP,online,09/03/2012,C,$29
1201472,W3M,mobile,23/09/2012,D,$2
1201473,7J?,mobile,25/09/2012,C,$23
1201474,I0L,online,24/01/2012,D,$20
1201475,O1<,mobile,20/10/2012,C,$49
1201476,:V6,branch,26/06/2013,C,$16
1201477,JU9,mobile,09/05/2014,C,$23
1201478,;AC,mobile,10/02/2012,D,$28
1201479,P/<,mobile,26/06/2012,D,$7
1201480,6ZA,online,09/05/2014,C,$8
1201481,SQ/,online,07/04/2013,D,$44
1201482,31V,online,24/12/2014,C,$2
1201483,9M;,online,22/07/2012,C,$48
1201484,S:.,mobile,28/10/2012,D,$9
1201485,KZG,mobile,05/03/2013,C,$31
1201486,8;Y,online,05/01/2014,D,$36
1201487,:BR,mobile,27/01/2013,C,$20
1201488,?GQ,branch,06/06/2013,C,$43
1201489,=75,mobile,28/02/2012,C,$44
1201490,U/H,mobile,08/12/2013,D,$10
1201491,:8F,online,10/03/2014,C,$18
1201492,IWW,mobile,23/08/2013,C,$8
1201493,6;Y,branch,02/05/2014,D,$23
1201494,SAV,mobile,18/10/2013,C,$7
1201495,1:@,mobile,23/07/2013,D,$9
1201496,80-,mobile,25/11/2014,C,$16
1201497,51-,online,11/07/2014,C,$29
1201498,?64,online,27/11/2013,C,$49
1201499,5FN,online,02/12/2013,D,$42
1201500,ZTN,online,10/09/2012,D,$10
1201501,9U9,mobile,27/11/2014,C,$2
1201502,C=6,mobile,28/08/2014,D,$23
1201503,6Y0,online,26/12/2013,C,$4
1201504,@FN,mobile,14/08/2014,C,$17
1201505,FVO,branch,23/11/2013,D,$49
1201506,<<U,mobile,26/05/2014,C,$47
1201507,HR=,mobile,18/03/2013,D,$1
1201508,BRH,mobile,24/12/2014,C,$8
1201509,?8K,online,22/04/2013,C,$39
1201510,P4-,online,28/12/2013,C,$7
1201511,BOZ,online,28/09/2012,D,$29
1201512,:<-,online,25/03/2013,C,$36
1201513,X8S,mobile,14/02/2013,C,$47
1201514,AWT,mobile,19/05/2013,D,$4
1201515,Y8M,online,16/10/2013,C,$32
1201516,<KF,mobile,28/12/2012,D,$17
1201517,Q=3,branch,08/04/2013,C,$31
1201518,=D7,mobile,18/11/2012,C,$50
