Account_id,Name,Timestamp,Credit/Debit,Amount
1201201,#NAME?,12/03/2013,C,$43 
1201202,6V2,10/05/2012,D,$5 
1201203,E1P,27/06/2012,C,$13 
1201204,M@V,08/09/2012,C,$14 
1201205,PDI,13/03/2014,D,$32 
1201206,EY=,15/02/2013,C,$1 
1201207,S29,19/08/2014,D,$45 
1201208,.J9,07/09/2014,C,$44 
1201209,HBT,10/06/2014,C,$46 
1201210,RM9,25/11/2014,C,$30 
1201211,5B3,21/10/2012,D,$17 
1201212,VLJ,25/04/2013,D,$19 
1201213,BK.,07/08/2012,C,$30 
1201214,MMR,25/03/2014,D,$47 
1201215,0KK,03/01/2012,C,$41 
1201216,40F,25/10/2013,C,$28 
1201217,:?W,11/10/2014,D,$34 
1201218,LV8,08/06/2014,C,$34 
1201219,?Y-,10/09/2013,D,$16 
1201220,5IC,13/01/2014,C,$24 
1201221,773,19/02/2012,C,$5 
1201222,P:4,15/11/2014,C,$25 
1201223,.1@,24/01/2012,D,$10 
1201224,0WA,21/02/2014,D,$8 
1201225,85-,03/03/2012,C,$22 
1201226,M25,28/11/2012,D,$38 
1201227,9W2,26/01/2013,C,$8 
1201228,;9?,19/11/2013,C,$33 
1201229,2/:,25/08/2013,D,$4 
1201230,>H:,16/02/2013,C,$28 
1201231,4?Y,09/04/2014,D,$27 
1201232,PT2,28/05/2012,C,$50 
1201233,7>U,06/04/2014,C,$3 
1201234,CA;,02/02/2013,C,$50 
1201235,3K-,06/08/2014,D,$12 
1201236,EY?,06/05/2013,D,$48 
1201237,M8L,03/03/2014,C,$35 
1201238,2S4,17/06/2012,D,$17 
1201239,2US,28/11/2013,C,$9 
1201240,KV4,26/03/2013,C,$33 
1201241,C?G,20/08/2013,D,$5 
1201242,TW1,03/06/2012,C,$45 
1201243,9OJ,03/07/2014,D,$15 
1201244,>VS,14/06/2012,C,$12 
1201245,CR;,27/02/2013,C,$2 
1201246,.CY,02/11/2012,C,$26 
1201247,Y4@,10/04/2012,D,$11 
1201248,;6T,05/11/2014,D,$37 
1201249,0,17/07/2013,C,$27 
1201250,Q>F,18/11/2013,D,$31 
1201251,IR.,22/09/2013,C,$44 
